playDirection,dis,o,dir,quarter,down,yardsToGo,yardlineNumber,preSnapHomeScore,preSnapVisitorScore,passLength,absoluteYardlineNumber,defendersInTheBox,preSnapHomeTeamWinProbability,preSnapVisitorTeamWinProbability,assist,forcedFumble,Class
1,0.51,268.62,220.92,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.55,268.62,225.03,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.59,268.62,228.19,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.62,264.06,231.07,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.66,265.16,232.45,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.68,266.1,233.34,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.7,268.05,233.41,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.7,266.48,234.06,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.7,264.22,234.73,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.68,259.64,235.54,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.66,253.06,235.46,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.63,252.08,235.5,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.6,244.38,234.41,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.55,245.12,231.9,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.49,235.75,228.74,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.46,231.12,226.52,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.4,234.46,221.92,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.38,230.1,218.32,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.3,236.84,215.64,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.21,229.96,217.17,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.2,210.12,217.93,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.15,191.58,221.28,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.1,152.15,225.89,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.09,125.74,229.4,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.08,109.5,230.55,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.07,101.94,224.32,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.06,93.72,211.78,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
1,0.07,91.67,199.52,2,1,10,32,0,7,-1.0,42,7.0,0.214607019,0.785392981,0,0,1
0,0.39,62.36,25.75,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.41,60.54,27.91,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.44,56.65,31.06,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.42,55.77,36.2,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.4,55.77,40.31,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.38,55.07,43.48,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.35,55.07,50.17,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.33,50.64,59.18,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.33,48.49,66.93,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.3,28.34,78.64,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.26,354.49,93.73,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.27,340.59,105.34,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.25,336.19,115.67,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.26,324.11,124.2,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.22,315.04,133.8,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.15,334.25,141.49,4,1,10,44,10,31,4.0,54,5.0,0.002593305,0.997406695,0,0,1
0,0.2,67.19,342.51,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.18,67.19,358.55,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.16,70.34,14.59,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.15,72.05,32.37,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.15,70.6,47.45,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.16,68.25,58.42,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.18,66.41,61.89,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.19,59.13,63.92,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.19,49.22,60.38,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.21,45.89,56.3,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.2,39.16,53.5,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.2,29.81,48.42,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.2,17.71,39.2,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.21,12.64,33.01,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.2,8.09,26.54,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.2,4.58,22.13,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.2,352.71,17.27,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.19,347.37,10.85,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.19,342.21,6.63,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.19,338.52,356.75,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.18,333.87,350.88,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
0,0.18,327.43,345.49,2,2,20,22,10,7,7.0,88,6.0,0.449811459,0.550188541,0,0,1
